sep=;
UF;CHAVE;NUMERO;SERIE;EMISSAO;CNPJ EMISSOR;IE EMISSOR;RAZAO SOCIAL;CNPJ-CPF DESTINATARIO;IE DESTINATARIO;RAZAO SOCIAL;CFOP;SELAGEM;SITUACAO;TIPO;VALOR;VL_BC;VL_ICMS;VL_ICMS_ST;VL_PIS;VL_COFINS;REJEITADA
AM;'13260106710613000956652540002003511950750116';200351;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5405;-;AUTORIZADA;SAÍDA;368,49;44,37;8,88;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003501136334001';200350;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;9,49;0,0;0,0;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003491540074643';200349;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;194,43;31,98;6,4;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003481645825552';200348;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5405;-;AUTORIZADA;SAÍDA;14,98;0,0;0,0;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003471648150370';200347;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5405;-;AUTORIZADA;SAÍDA;83,11;2,1;0,42;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003461859432999';200346;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;86,74;15,99;3,2;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003451641553939';200345;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;112,68;25,26;5,05;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003441267746128';200344;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;20,56;0,0;0,0;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003431252149733';200343;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;145,36;7,94;1,59;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003421178636276';200342;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5405;-;AUTORIZADA;SAÍDA;225,88;188,93;37,8;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003411915549985';200341;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5405;-;AUTORIZADA;SAÍDA;223,13;10,66;2,14;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003401588089319';200340;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5405;-;AUTORIZADA;SAÍDA;127,04;19,98;4,0;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003391916594455';200339;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;125,98;9,99;2,0;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003381419684220';200338;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;25,4;0,0;0,0;0,0;0,0;0,0;N;
AM;'13260106710613000956652540002003371509223844';200337;254;19/01/2026;'06710613000956';'54023203';RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;'null';'-';;5102;-;AUTORIZADA;SAÍDA;64,8;5,99;1,2;0,0;0,0;0,0;N;
